,COUNTRY,YEAR,HEALTH_EXPENDITURE_PER_CAPITA,LIFE_EXPECTANCY_AT_BIRTH,GOV_DEBT_PCT_OF_GDP,GDP_PER_CAPITA,IMPORTS_PCT_OF_GDP,GOV_ED_SPEND_PCT_GDP,CHAOS
53,Liberia,1961,NA,35.0462682927,NA,160.6441982503,52.0332382019,NA,98
54,Sri Lanka,1961,NA,60.126804878,NA,142.0463936952,28.4854298182,NA,20
55,Lower middle income,1961,NA,46.1417506061,NA,101.1308582377,11.6700026243,NA,53
56,Low & middle income,1961,NA,46.7557868277,NA,129.2368807434,9.7140158817,NA,1
57,Lesotho,1961,NA,46.9947317073,NA,41.2111542636,45.4901960784,NA,53
58,Luxembourg,1961,NA,68.7377317073,NA,2222.3663663628,75.141374932,NA,68
59,Morocco,1961,NA,48.8641219512,NA,158.8929890632,24.7780658396,NA,29
60,Madagascar,1961,NA,40.4572439024,NA,133.8462235022,19.5033405238,NA,78
61,Mexico,1961,NA,57.6561463415,NA,359.2909348792,10.619793879,NA,93
62,Middle income,1961,NA,47.32105873,NA,133.568617644,9.658022835,NA,71
63,Myanmar,1961,NA,43.4025365854,NA,NA,17.5829245315,NA,38
64,Mauritania,1961,NA,44.1639268293,NA,121.9694020857,27.0471973695,NA,91
65,Malawi,1961,NA,38.0591219512,NA,47.1834134864,36.1668003208,NA,37
66,Malaysia,1961,NA,60.0543902439,NA,225.6240708269,52.0818361388,NA,19
67,North America,1961,NA,70.3680173824,NA,2990.7662806599,5.3023656452,NA,89
68,Niger,1961,NA,35.5942682927,NA,139.0486105963,9.7053428541,NA,64
69,Nigeria,1961,NA,37.6382682927,NA,96.8115638136,16.2998823036,NA,63
70,Nicaragua,1961,NA,47.6456585366,NA,131.4055525724,24.5533267813,NA,23
71,Netherlands,1961,NA,73.6526829268,NA,1159.3923571607,46.4563885373,NA,33
72,Norway,1961,NA,73.5504878049,NA,1560.3249311723,37.132253351,NA,46
73,OECD members,1961,NA,67.7291434632,NA,1405.3427347179,11.9787006078,NA,33
74,Peru,1961,NA,48.2329268293,NA,280.1534187148,22.8048950705,NA,28
75,Philippines,1961,NA,58.1222682927,NA,267.1477642802,14.0248936342,NA,71
76,Papua New Guinea,1961,NA,39.0595121951,NA,122.3519051135,28.1335773102,NA,44
77,Puerto Rico,1961,NA,68.9426585366,NA,777.2150274073,60.104012439,NA,36
78,Portugal,1961,NA,63.2523658537,NA,382.7299469944,22.5806810138,NA,2
79,Rwanda,1961,NA,42.5487560976,NA,40.7197298079,9.8360642838,NA,98
80,South Asia,1961,NA,43.1096970199,NA,87.0515527041,6.907306852,NA,85
81,Sudan,1961,NA,48.6115365854,NA,131.8960933852,14.3494598403,NA,13
82,Senegal,1961,NA,38.3632439024,NA,256.1562554247,18.7447601824,NA,27
83,Singapore,1961,NA,66.087195122,NA,448.9591837787,157.0457750994,NA,51
84,Somalia,1961,NA,37.3622926829,NA,NA,23.0825243808,NA,19
85,Suriname,1961,NA,60.047,NA,329.9909453704,60.8739837398,NA,90
86,Sweden,1961,NA,73.4743902439,NA,2147.2293108041,21.6913873559,NA,44
87,Swaziland,1961,NA,44.5318780488,NA,120.3428026695,34.8161091208,NA,3
88,Syrian Arab Republic,1961,NA,53.3125609756,NA,199.3096169717,22.3827703321,NA,69
89,Chad,1961,NA,38.2734390244,NA,109.0915357422,18.5567758596,NA,70
90,Togo,1961,NA,40.9164878049,NA,79.1200340195,30.2259359213,NA,62
91,Thailand,1961,NA,55.7662682927,NA,107.4979171802,17.1100956965,NA,25
92,Trinidad and Tobago,1961,NA,63.2537560976,NA,675.9775267712,64.708849929,NA,83
93,Turkey,1961,NA,46.1044878049,NA,284.1807901666,6.7867036011,NA,61
94,Uganda,1961,NA,44.5600243902,NA,63.0151973245,21.6438674878,NA,63
95,Upper middle income,1961,NA,48.3044222729,NA,156.9833946748,9.1152233479,NA,60
96,Uruguay,1961,NA,68.1122682927,NA,NA,14.7727272727,NA,51
97,United States,1961,NA,70.2707317073,NA,3066.5628691662,4.02982425,NA,48
98,"Venezuela, RB",1961,NA,60.1142439024,NA,1070.4868217864,15.3148500183,NA,48
99,World,1961,NA,53.006188136,NA,457.8440110904,12.4053225855,NA,11
100,South Africa,1961,NA,49.429804878,NA,431.3454751215,21.9859598047,NA,53
101,Afghanistan,1962,NA,32.6118780488,NA,58.5059949855,9.3495933013,NA,23
102,Argentina,1962,NA,65.4326097561,NA,NA,9.3836828906,NA,81
103,Australia,1962,NA,70.9424390244,NA,1851.0077816768,12.6337726709,NA,79
104,Austria,1962,NA,69.3095121951,NA,1087.8342434189,22.2017169658,NA,17
105,Burundi,1962,NA,41.8603902439,NA,73.7603276548,16.3934421622,NA,89
106,Belgium,1962,NA,70.2195121951,NA,1438.5232330684,40.5845519258,NA,70
107,Benin,1962,NA,38.1894146341,NA,94.4518553431,9.9593044611,NA,50
108,Burkina Faso,1962,NA,35.4058780488,NA,76.5206268252,15.7059646946,NA,52
109,Bangladesh,1962,NA,48.2015609756,NA,99.5758023901,10.8080969924,NA,59
110,Bolivia,1962,NA,43.2891463415,NA,174.4934314509,19.9423116288,NA,4
111,Brazil,1962,NA,55.633097561,NA,NA,5.1889739477,NA,4
112,Botswana,1962,NA,51.2350487805,NA,64.8101455338,44.8389926173,NA,97
113,Central African Republic,1962,NA,37.3187804878,NA,79.968052632,37.7049074335,NA,95
114,Canada,1962,NA,71.3670731707,NA,2255.2300441304,17.7928988203,NA,37
115,Switzerland,1962,NA,71.196097561,NA,2131.3916515998,28.852809356,NA,41
116,Chile,1962,NA,57.8245121951,NA,662.7400256983,13.6249063288,NA,70
117,China,1962,NA,44.7126585366,NA,70.9094116671,2.9409205603,NA,4
118,Cote d'Ivoire,1962,NA,38.2338292683,NA,172.5127194616,25.7469289578,NA,82
119,"Congo, Rep.",1962,NA,49.8439512195,NA,155.9755752454,62.9517144091,NA,21
120,Colombia,1962,NA,57.7392195122,NA,283.9175203014,12.1951727599,NA,53
121,Costa Rica,1962,NA,62.740902439,NA,334.4873032477,26.3447089255,NA,28
122,Denmark,1962,NA,72.3197560976,NA,1681.0299129876,32.5049280412,NA,19
123,Dominican Republic,1962,NA,53.2992439024,NA,234.0344806826,24.1839582575,NA,95
124,Algeria,1962,NA,47.045,NA,171.2091366033,20.818646682,NA,87
125,Ecuador,1962,NA,54.3544878049,NA,199.1730117846,20.5538509195,NA,79
126,Euro area,1962,NA,69.6093522926,NA,1108.8532842785,18.5775881372,NA,83
127,Spain,1962,NA,69.5190243902,NA,520.20613138,10.1191271129,NA,49
128,European Union,1962,NA,69.514312101,NA,1024.6659371461,19.2606330094,NA,94
129,Finland,1962,NA,68.577804878,NA,1411.7023981804,21.4379545863,NA,9
130,Fiji,1962,NA,56.8174634146,NA,291.5403983097,38.8319672131,NA,71
131,France,1962,NA,70.3146341463,NA,1585.9172674285,12.1168866839,NA,56
132,Gabon,1962,NA,40.3596341463,NA,358.560975155,30.7683996685,NA,42
133,United Kingdom,1962,NA,70.9268292683,NA,1513.6514485493,19.621273505,NA,66
134,Ghana,1962,NA,46.6825365854,NA,195.1200160771,28.4701114488,NA,27
135,Equatorial Guinea,1962,NA,37.3324146341,NA,35.3677268093,51.3600572656,NA,74
136,Greece,1962,NA,68.8922682927,NA,630.6139412938,16.3345049158,NA,22
137,Guatemala,1962,NA,46.6882926829,NA,262.4995437934,13.4225253585,NA,47
138,Guyana,1962,NA,58.491804878,NA,324.6115293089,44.8833034111,NA,89
139,High income,1962,NA,68.5938557066,NA,1552.9754756378,13.2153025144,NA,91
140,"Hong Kong SAR, China",1962,NA,68.130097561,NA,487.8211340508,80.5587508372,NA,47
141,Honduras,1962,NA,47.6329512195,NA,181.2586714335,22.0760799484,NA,56
142,Indonesia,1962,NA,46.422,NA,NA,5.1100067346,NA,40
143,India,1962,NA,42.8532682927,NA,91.6579105818,5.9278584357,NA,37
144,Ireland,1962,NA,70.0879756098,NA,797.006288354,36.8389593805,NA,40
145,"Iran, Islamic Rep.",1962,NA,46.065804878,NA,203.4363379117,13.6786442671,NA,44
146,Iceland,1962,NA,73.7219512195,NA,1562.2307304584,41.5839142896,NA,34
147,Israel,1962,NA,72.112195122,NA,1094.6358482338,16.7330677291,NA,92
148,Italy,1962,NA,69.1497560976,NA,990.2601521634,13.2049589523,NA,88
149,Jamaica,1962,NA,65.2797804878,NA,463.3468788788,34.922235023,NA,11
150,Japan,1962,NA,68.5948780488,NA,633.6403151738,9.2907963384,NA,8
151,Kenya,1962,NA,47.6522439024,NA,100.6042549917,30.1251538874,NA,90
152,Cambodia,1962,NA,41.5020731707,NA,109.5127427319,22.9437213471,NA,19
153,"Korea, Rep.",1962,NA,54.484097561,NA,103.5694609754,16.5033705536,NA,22
154,Liberia,1962,NA,35.3541219512,NA,163.9470308912,72.3958599367,NA,65
155,Sri Lanka,1962,NA,60.5115853659,NA,137.3318374606,29.2012955524,NA,95
156,Lower middle income,1962,NA,46.8071514796,NA,101.6777444628,10.2556415551,NA,63
157,Low & middle income,1962,NA,47.4558110846,NA,129.7311963725,8.5333233518,NA,31
158,Lesotho,1962,NA,47.4022439024,NA,47.4642115598,47.8260869565,NA,62
159,Luxembourg,1962,NA,68.9981219512,NA,2311.7988489362,74.1914357486,NA,25
160,Morocco,1962,NA,49.2875853659,NA,181.1005690155,21.0928446984,NA,44
161,Madagascar,1962,NA,40.937804878,NA,138.1154366679,18.3835288021,NA,40
162,Mexico,1962,NA,58.1802439024,NA,374.4454987123,10.094751497,NA,73
163,Middle income,1962,NA,48.0505387213,NA,134.0231924206,8.4644962884,NA,100
164,Myanmar,1962,NA,44.1513658537,NA,NA,19.0417705743,NA,15
165,Mauritania,1962,NA,44.8252195122,NA,122.2525392247,31.0875679863,NA,1
166,Malawi,1962,NA,38.2741707317,NA,48.3875958016,35.0152905199,NA,48
167,Malaysia,1962,NA,60.6166829268,NA,229.7757624249,53.0943952995,NA,75
168,North America,1962,NA,70.232706802,NA,3153.8860500384,5.3713648544,NA,5
169,Niger,1962,NA,35.6654634146,NA,147.8437073799,12.9477921642,NA,61
170,Nigeria,1962,NA,38.0790731707,NA,104.1940164257,13.5603602357,NA,79
171,Nicaragua,1962,NA,48.2958780488,NA,140.6218666073,28.9035229588,NA,50
172,Netherlands,1962,NA,73.323902439,NA,1240.6778943729,45.5294035633,NA,8
173,Norway,1962,NA,73.4480487805,NA,1667.2474297782,35.5121344733,NA,72
174,OECD members,1962,NA,67.7371959582,NA,1497.2461244931,11.7736995265,NA,60
175,Peru,1962,NA,48.7527804878,NA,308.5977286576,22.5581039044,NA,8
176,Philippines,1962,NA,58.4288536585,NA,156.6821375431,19.2346557979,NA,56
177,Papua New Guinea,1962,NA,39.7173902439,NA,128.2095644499,27.9159519726,NA,56
178,Puerto Rico,1962,NA,69.1449268293,NA,854.7448049685,63.6124919786,NA,19
179,Portugal,1962,NA,63.6941463415,NA,407.8528436124,18.9632814285,NA,59
180,Rwanda,1962,NA,42.8377073171,NA,40.9756021446,12.7999991808,NA,93
181,South Asia,1962,NA,43.8400716092,NA,90.952773161,6.9424074091,NA,9
182,Sudan,1962,NA,49.0274634146,NA,139.4947863786,15.0486486486,NA,74
183,Senegal,1962,NA,38.446,NA,255.458393403,18.1132243329,NA,16
184,Singapore,1962,NA,66.4322439024,NA,471.8805129407,148.5879281702,NA,81
185,Somalia,1962,NA,37.7612195122,NA,NA,27.5140777542,NA,85
186,Suriname,1962,NA,60.4084390244,NA,337.8709235139,60,NA,64
187,Sweden,1962,NA,73.3504878049,NA,2315.8465274022,21.3924809491,NA,56
188,Swaziland,1962,NA,44.8179512195,NA,125.5801898692,45.7237614195,NA,41
189,Syrian Arab Republic,1962,NA,53.867804878,NA,226.7651231498,21.563403271,NA,47
190,Chad,1962,NA,38.5288536585,NA,114.5403020465,19.6289542139,NA,40
191,Togo,1962,NA,41.555097561,NA,81.9945966046,30.422220254,NA,100
192,Thailand,1962,NA,56.2627073171,NA,113.7824898381,17.6494174146,NA,64
193,Trinidad and Tobago,1962,NA,63.760195122,NA,703.7566204139,64.1047946833,NA,15
194,Turkey,1962,NA,46.8367073171,NA,308.620783519,7.9701120797,NA,39
195,Uganda,1962,NA,45.1470487805,NA,62.0169842519,21.4477142951,NA,63
196,Upper middle income,1962,NA,49.0948157407,NA,157.4339462098,7.9815013358,NA,46
197,Uruguay,1962,NA,68.2966341463,NA,NA,14.4329896907,NA,18
198,United States,1962,NA,70.1195121951,NA,3243.8430775499,4.1315485044,NA,94
199,"Venezuela, RB",1962,NA,60.6974878049,NA,1140.0827475744,15.0907288978,NA,22
200,World,1962,NA,53.4954458804,NA,481.8636858012,11.8753377841,NA,16
201,South Africa,1962,NA,49.8132926829,NA,447.9928193957,21.2720052289,NA,69
202,Afghanistan,1963,NA,33.1273170732,NA,78.8025868928,16.8639103538,NA,21
203,Argentina,1963,NA,65.5093902439,NA,NA,7.8904520328,NA,30
204,Australia,1963,NA,70.9117073171,NA,1963.2299658749,13.8369367023,NA,12
205,Austria,1963,NA,69.4436585366,NA,1167.0005324459,22.8578819152,NA,89
206,Burundi,1963,NA,42.177804878,NA,78.8741608924,14.2857144085,NA,81
207,Belgium,1963,NA,70.0514634146,NA,1535.0237290104,42.6700447308,NA,99
208,Benin,1963,NA,38.6573414634,NA,99.8404246691,11.6258988071,NA,13
209,Burkina Faso,1963,NA,35.8796585366,NA,78.3721187055,15.6690091989,NA,35
210,Bangladesh,1963,NA,48.7763170732,NA,101.2601481256,11.656277941,NA,48
211,Bolivia,1963,NA,43.6034146341,NA,184.2754408284,20.8353869694,NA,91
212,Brazil,1963,NA,56.08,NA,NA,9.1110000213,NA,31
213,Botswana,1963,NA,51.5679512195,NA,67.5008913258,47.3453568519,NA,64
214,Central African Republic,1963,NA,37.7603414634,NA,81.5878127522,38.4858050224,NA,66
215,Canada,1963,NA,71.3807317073,NA,2354.8391219798,17.4494600663,NA,43
216,Switzerland,1963,NA,71.1875609756,NA,2294.1828473174,28.2833261836,NA,18
217,Chile,1963,NA,58.2695121951,NA,680.488627997,14.4945311019,NA,38
218,China,1963,NA,46.331,NA,74.3136434486,2.894672829,NA,54
219,Cote d'Ivoire,1963,NA,38.8801707317,NA,195.649005743,23.5198659078,NA,3
220,"Congo, Rep.",1963,NA,50.4188536585,NA,157.0753458466,57.8475220953,NA,16
221,Colombia,1963,NA,58.2007560976,NA,268.3244282021,12.3435673816,NA,89
222,Costa Rica,1963,NA,63.2938780488,NA,344.8285610423,27.4337668252,NA,62
223,Denmark,1963,NA,72.4004878049,NA,1775.3703846879,30.7912838558,NA,19
224,Dominican Republic,1963,NA,54.0067804878,NA,258.5589678307,25.9778939177,NA,68
225,Algeria,1963,NA,47.496195122,NA,225.5298034452,36.8255151428,NA,63
226,Ecuador,1963,NA,54.8966341463,NA,209.6175193696,18.9097053364,NA,39
227,Euro area,1963,NA,69.7669776104,NA,1232.3267430444,19.3449341166,NA,43
228,Spain,1963,NA,69.6812195122,NA,609.4873840565,10.7800567606,NA,35
229,European Union,1963,NA,69.7591048637,NA,1118.8122788942,19.80579896,NA,22
230,Finland,1963,NA,69.0126829268,NA,1522.3192420995,19.4076250868,NA,94
231,Fiji,1963,NA,57.2321707317,NA,296.7729354427,48.6381322957,NA,8
232,France,1963,NA,70.5146341463,NA,1752.9644028355,12.4670893684,NA,99
233,Gabon,1963,NA,40.9095853659,NA,299.2237477422,45.3936620977,NA,14
234,United Kingdom,1963,NA,70.8268292683,NA,1592.6144766156,19.7224543777,NA,81
235,Ghana,1963,NA,47.0784390244,NA,210.9689784984,27.4545454545,NA,78
236,Equatorial Guinea,1963,NA,37.6323414634,NA,41.5345228873,34.4879518072,NA,36
237,Greece,1963,NA,69.1857073171,NA,701.6204177529,17.3825856952,NA,86
238,Guatemala,1963,NA,47.2826829268,NA,282.0687333689,15.9328476402,NA,5
239,Guyana,1963,NA,58.6209268293,NA,283.9886258602,46.1334218387,NA,11
240,High income,1963,NA,68.8146746463,NA,1651.2713486673,13.4719018855,NA,54
241,"Hong Kong SAR, China",1963,NA,68.6434390244,NA,565.727810358,78.3282328698,NA,44
242,Honduras,1963,NA,48.289,NA,185.5148285232,24.7196489517,NA,84
243,Indonesia,1963,NA,47.2116097561,NA,NA,8.8600115517,NA,30
244,India,1963,NA,43.6079512195,NA,103.1358713914,5.8050319984,NA,15
245,Ireland,1963,NA,70.249804878,NA,852.1353017179,38.6103491564,NA,50
246,"Iran, Islamic Rep.",1963,NA,46.6180731707,NA,208.1308233883,12.4599077469,NA,24
247,Iceland,1963,NA,73.0429268293,NA,1831.7056558197,42.3552112082,NA,34
248,Israel,1963,NA,NA,NA,1257.8114053524,16.0075749137,NA,27
249,Italy,1963,NA,69.2480487805,NA,1126.0193369983,14.3435765614,NA,11
250,Jamaica,1963,NA,65.7544878049,NA,484.2889658467,34.0386618234,NA,10
251,Japan,1963,NA,69.6580487805,NA,717.8669152309,9.8763353253,NA,78
252,Kenya,1963,NA,48.2697560976,NA,104.0127012988,28.9627646635,NA,58
253,Cambodia,1963,NA,41.6973414634,NA,117.8701324923,20.7843123045,NA,20
254,"Korea, Rep.",1963,NA,55.245902439,NA,141.7270616374,15.7047868992,NA,53
255,Liberia,1963,NA,35.7152195122,NA,167.3337857308,56.8347537027,NA,45
256,Sri Lanka,1963,NA,60.9205121951,NA,117.2436466554,27.4925711189,NA,24
257,Lower middle income,1963,NA,47.4646368807,NA,110.5813845502,10.7108582134,NA,65
258,Low & middle income,1963,NA,48.3535087322,NA,139.2026414503,9.0493339231,NA,61
259,Lesotho,1963,NA,47.7262439024,NA,52.3620839489,50.8928571429,NA,23
260,Luxembourg,1963,NA,69.2230731707,NA,2441.0385553001,72.5816302662,NA,97
261,Morocco,1963,NA,49.7147560976,NA,196.3847090591,20.0788278421,NA,87
262,Madagascar,1963,NA,41.414902439,NA,138.4002536676,19.926314348,NA,53
263,Mexico,1963,NA,58.642902439,NA,403.8241406509,9.967493138,NA,89
264,Middle income,1963,NA,48.9988308678,NA,143.9669715488,8.9745911474,NA,100
265,Myanmar,1963,NA,45.003902439,NA,NA,17.3244063516,NA,5
266,Mauritania,1963,NA,45.4600243902,NA,121.5765542118,29.543318536,NA,37
267,Malawi,1963,NA,38.4807073171,NA,49.2804860512,37.4908290536,NA,52
268,Malaysia,1963,NA,61.160195122,NA,278.926308799,44.1391371681,NA,74
269,North America,1963,NA,70.0503873907,NA,3281.3512353516,5.2997505073,NA,62
270,Niger,1963,NA,35.7296341463,NA,158.3229020066,10.3222702518,NA,2
271,Nigeria,1963,NA,38.4998536585,NA,107.3292193764,13.5372959514,NA,46
272,Nicaragua,1963,NA,48.9505121951,NA,150.7087865414,30.2425080507,NA,70
273,Netherlands,1963,NA,73.3370731707,NA,1328.0366487997,46.7126023155,NA,80
274,Norway,1963,NA,73.0775609756,NA,1775.5826554498,35.9104432068,NA,63
275,OECD members,1963,NA,67.9566588641,NA,1592.1140837336,11.9812946774,NA,49
276,Peru,1963,NA,49.2486585366,NA,328.5084121083,22.1671330416,NA,90
277,Philippines,1963,NA,58.7326097561,NA,168.0169731621,16.9538217972,NA,38
278,Papua New Guinea,1963,NA,40.4378780488,NA,132.9562780831,30.9659090909,NA,51
279,Puerto Rico,1963,NA,69.3549756098,NA,931.7516659812,61.4501254714,NA,30
280,Portugal,1963,NA,64.1322926829,NA,432.5117295751,19.9436080801,NA,78
281,Rwanda,1963,NA,43.1131219512,NA,41.2508282393,12.6562515625,NA,49
282,South Asia,1963,NA,44.5718061537,NA,100.1667325132,6.9046060884,NA,21
283,Sudan,1963,NA,49.4379268293,NA,138.1146664067,18.0446333688,NA,64
284,Senegal,1963,NA,38.4632439024,NA,256.8926884004,18.0048278522,NA,29
285,Singapore,1963,NA,66.700804878,NA,510.9871891046,155.794572263,NA,36
286,Somalia,1963,NA,38.1621707317,NA,NA,25.973157228,NA,48
287,Suriname,1963,NA,60.7704634146,NA,349.7281658347,60.9545454545,NA,96
288,Sweden,1963,NA,73.5553658537,NA,2492.5453459549,21.5185338136,NA,87
289,Swaziland,1963,NA,45.1000487805,NA,144.7317647549,53.5383135173,NA,97
290,Syrian Arab Republic,1963,NA,54.4389756098,NA,237.3445956227,21.1707716043,NA,45
291,Chad,1963,NA,38.7858536585,NA,116.7325800586,19.2119944176,NA,30
292,Togo,1963,NA,42.1891707317,NA,87.7920289348,29.8155255003,NA,79
293,Thailand,1963,NA,56.718804878,NA,118.1432367736,18.375083414,NA,24
294,Trinidad and Tobago,1963,NA,64.1613902439,NA,759.8671400242,60.7035665038,NA,8
295,Turkey,1963,NA,47.5740243902,NA,349.8847555824,6.974248927,NA,35
296,Uganda,1963,NA,45.7381219512,NA,68.9354168941,23.8805454859,NA,68
297,Upper middle income,1963,NA,50.283643442,NA,167.7242528327,8.5063944886,NA,19
298,Uruguay,1963,NA,68.4409268293,NA,NA,12.017167382,NA,71
299,United States,1963,NA,69.9170731707,NA,3374.5151710508,4.0870654557,NA,45
300,"Venezuela, RB",1963,NA,61.2764146341,NA,1185.4839660927,13.6809831787,NA,4
301,World,1963,NA,54.1424403633,NA,509.9269084479,12.2061796597,NA,54
302,South Africa,1963,NA,50.1957560976,NA,484.516324429,23.8350577625,NA,65
303,Afghanistan,1964,NA,33.6412439024,NA,82.2313944485,18.0555552395,NA,71
304,Argentina,1964,NA,65.5824146341,NA,NA,5.5637140748,NA,23
305,Australia,1964,NA,70.8809756098,NA,2127.1657387955,13.7670909948,NA,22
306,Austria,1964,NA,69.9219512195,NA,1269.4125828926,23.5861823273,NA,53
307,Burundi,1964,NA,42.4922195122,NA,86.5716236985,12.0805373091,NA,69
308,Belgium,1964,NA,70.7551219512,NA,1701.8462755432,42.8293237005,NA,92
309,Benin,1964,NA,39.1368536585,NA,104.3237521504,12.2431651527,NA,53
310,Burkina Faso,1964,NA,36.3589512195,NA,80.4727351807,11.5184394568,NA,90
311,Bangladesh,1964,NA,49.2930487805,NA,99.503331172,14.1218553939,NA,96
312,Bolivia,1964,NA,43.9211707317,NA,203.6012514876,18.4916874985,NA,96
313,Brazil,1964,NA,56.5102926829,NA,NA,5.6776000056,NA,99
314,Botswana,1964,NA,51.898804878,NA,71.8068333149,48.5767026134,NA,65
315,Central African Republic,1964,NA,38.2253658537,NA,87.8588008535,40.8045902844,NA,17
316,Canada,1964,NA,71.7763414634,NA,2529.5181790541,18.1545167336,NA,62
317,Switzerland,1964,NA,72.077804878,NA,2501.2931899638,28.2987862084,NA,53
318,Chile,1964,NA,58.7437073171,NA,695.8440568538,13.3516300115,NA,50
319,China,1964,NA,48.5808780488,NA,85.4985551596,2.8954607978,NA,86
320,Cote d'Ivoire,1964,NA,39.505097561,NA,227.4412802127,24.7227699819,NA,5
321,"Congo, Rep.",1964,NA,50.9522926829,NA,164.826375992,56.4490109293,NA,12
322,Colombia,1964,NA,58.6412682927,NA,322.4722040624,12.6119213451,NA,23
323,Costa Rica,1964,NA,63.8361707317,NA,353.0032609814,28.7539627788,NA,28
324,Denmark,1964,NA,72.4851219512,NA,2013.2430769327,32.6280125555,NA,45
